QuestionId,TraitName
25095,"Channel_Social Boldness_Max






"
25096,"Channel_Social Boldness_Max






"
25097,"Channel_Social Boldness_Max






"
25098,"Channel_Social Boldness_Max






"
25099,"Channel_Social Boldness_Max






"
25100,"Channel_Social Boldness_Max






"
25101,"Channel_Social Boldness_Max






"
25102,"Channel_Social Boldness_Max






"
25103,"Channel_Liveliness_Max
"
25104,"Channel_Liveliness_Max
"
25105,"Channel_Liveliness_Max
"
25106,"Channel_Liveliness_Max
"
25107,"Channel_Liveliness_Max
"
25108,"Channel_Liveliness_Max
"
25109,"Channel_Liveliness_Max
"
25110,"Channel_Liveliness_Max
"
25111,"Channel_Group Orientation_Max
"
25112,"Channel_Group Orientation_Max
"
25113,"Channel_Group Orientation_Max
"
25114,"Channel_Group Orientation_Max
"
25115,"Channel_Group Orientation_Max
"
25116,"Channel_Group Orientation_Max
"
25117,"Channel_Group Orientation_Max
"
25118,"Channel_Group Orientation_Max
"
25119,Channel_Positivity_Max
25120,Channel_Positivity_Max
25121,Channel_Positivity_Max
25122,Channel_Positivity_Max
25123,Channel_Positivity_Max
25124,Channel_Positivity_Max
25125,Channel_Positivity_Max
25126,Channel_Positivity_Max
25127,Channel_Positivity_Max
25128,Channel_Positivity_Max
25129,Channel_Positivity_Max
25130,Channel_Positivity_Max
25140,Channel_Images_Positivity_Max_PJ
25141,Channel_Images_Positivity_Max_PJ
25142,Channel_Images_Positivity_Max_PJ
25143,Channel_Images_Positivity_Max_PJ
25144,Channel_Images_Positivity_Max_PJ
25135,Channel_Impression Management_Max
25136,Channel_Impression Management_Max
25137,Channel_Impression Management_Max
25138,Channel_Impression Management_Max
25139,Channel_Impression Management_Max
25131,Channel_Workplace Motivation_Max
25132,Channel_Workplace Motivation_Max
25133,Channel_Workplace Motivation_Max
25134,Channel_Workplace Motivation_Max
